formula,target
Cl9Cs3Sb2,3.081264
Cr2H4K2Mg1O10,4.175217
Mn12O16,2.303584
Cd1Ge1Te4Tl2,0.61247
Ag12B4O12,2.194885
Bi4Pb7Se13,0.481314
Au4Bi4Br24,2.079914
Br6Pd1Se2,2.382756
F2Sb2Sr2Zn2,0.586011
Ca2Co2O12Si4,4.767754
Cd4H8O8,3.307414
O3Sr1Ti1,3.094581
Au2La4O2P4,0.222347
Ag1F3Zn1,3.579519
O18Sc6Te3,4.546622
K4N8O24Pd2,3.95116
Cs8Na12O16Tl4,2.636248
Ca2Na4O24V8,4.039417
Cl20Nb4,3.420896
O3Sn1Ti1,1.899045
Cr6O16Rb2,2.707985
Cu2Na2S6Zr2,1.460911
As2Ba2Cd2F2,1.671993
As12Ge4K4Na16,1.09234
C4Cl24N4Sb4,3.26757
Ba4O8S4,2.587788
C6Cu1H4N8O4,3.519938
K4P4Si2,1.974956
F4Mg2,9.1739695
Mo2O24Se6Y4,3.838754
Cr4La4O16,1.879015
Cs12S16Sb4,3.259788
As6Cd4I2,1.390344
H12Li8Ru2,3.911051
Ca1H6O16S4,6.600708
Mn2P2S6,3.123575
Ba2O6Te1Zn1,2.052034
Cs20Ge4P12,1.5709169999999997
F10Li4Mn2,3.795963
Ag2N2O6,3.4689970000000003
Cr2Ge4Na2O12,3.966187
Au2Na2Te2,0.018523
Pt6Se16Ta4,1.224495
As2Na6,0.679297
B4H16Mg2,6.674404
Cs4Te4,1.780373
In1N1Ni3,0.06091
Ba4S16Y8,2.699425
Ba2La4O20Ti6,3.2519470000000004
Cs2H2O20P6V2,3.062715
Ca2Cl4,6.990097
Cl12Cr4Rb4,3.1651455000000004
Cu2F2Se2Sr2,2.416809
C4Cd1Hg1N4S4,3.612542
As2I6,2.831229
Br6Rh2Te12,1.7455819999999995
F6K6O8Ti2,4.157121
Ag4Sc4Se8,1.6780190000000004
Fe8O20Sr8,3.375442
Mg4O14V4,3.786535
As16Ca12Si8,1.4263789999999994
Co2I8Rb4,3.061738
O14Sr4Ta4,4.234203
Cd2H8K4O20Se4,4.849168
Nb8O24Sr4,4.322864
B4Ba4Li4S12,3.116245
Cu2Na2Se2,1.189787
Ag1Bi2F12,2.450174
Cl4Hg10O8,1.270148
Na6O2P2S6,4.160919
Cs4F8O8P4,7.039878
Ca4Hf4S12,2.261131
Br4Hg10O8,0.948088
Hg4O8Se2,2.265058
Ga14Te20,1.541823
O26Te10Y4,4.157607
Ag2Cr2Te4,0.1934089999999999
Cs2Fe2O16S4,3.486345
Pt10S12Tl4,1.647451
F6K2Mn2,5.2014955
C8Cl14Ga4O8Rh2,3.453089
Au6F16,2.671098
Ca8N12P4,3.874007
K4Mn2O14V4,3.223525
I2Ta2Te8,0.408785
Ge4Na2O24P6,5.67727
Cu4O16P4Rb4,3.098107
H6Li2Pt1,3.668216
C4Hg2N4O4,4.889035
Cl18Cs2Pb1Ta6,1.973634
Au2Cu2F10,3.1159
F8I2Pb5,3.804256
As4Mn2O12,3.028624
In2O8P2,3.920507
O24Rb4Sr2V8,3.934042
Ca3N1P1,1.6021280000000004
O22Si4Sr4Ti5,3.197498
Pb8S16Si4,2.842563
P8S12,3.032826
Ag2Ge4O24P6,4.168307
Au2P2S8,2.045965
Al2H16K2N8,4.540174
Ba2O26Ti12,3.868306
As4F24I20,2.285688
Fe1Ga2Se4,1.603922
Al4Cd2Se8,2.196484
Ba2Cu8S6,1.2348980000000005
Ge4Na4S12Zn2,3.272574
Cr4K6Na2O16,4.181282
Fe2Li2O20Se8,2.656651
Mg2Mn4O8,2.768203
C12Fe4O12S4,3.566535
Ag2Bi4Cl2S6,1.484521
C4Cl4Hg4N4S4,1.662728
Cr2Fe1S4,1.4527280000000005
Ge4K16O16,4.222956
Cl18N6S8Te4,3.064109
Au2Cs6Ge8,1.3123699999999998
H2O13Ti6,4.08769
Ga2Te5,1.518542
Cl12N4W4,2.691257
C16Ca2N12,4.289035
Cu4Mn4O8,1.475435
Cl18K6W4,2.209245
Al4Fe2S8,1.8753839999999995
H2Li2O4,1.018738
N2Na1Nb1,1.622383
H8N16P8,6.38152
C2Cu5H8I4N2O4,1.125013
B8Ba12N16,3.537333
H4In4O8,3.173913
F6Sb2,5.614783
Nb1Ru1Sb1,1.028657
Al2H1Li2O14Si4,3.298499
Na6O2S6V2,2.715184
P6Rb6Se18,2.032271
O12Rb12Tl4,2.655455
Cu4Na8O40Si16,4.404767
Mn4O16Te6,3.398127
H4Mg2,4.838347
Ca4O24Ta8,3.741579
K12O10Pb4,3.082326
F10Ga2H8Mn2O4,4.591834
As2Li2Mo4O18,3.794632
I4Pb2,3.179801
Cu4Na6O12Sb2,3.405559
Li4P2Sr1,1.660941
Ba8F8S12Sn4,3.3258
Cd2Cr4S8,1.8237879999999995
Al4Mn2S8,3.148453
La8Ni8O20,3.239986
P24Sr8,0.856136
Ag4O12Te4,2.494537
Cs4Te16,0.833891
O16Rb8Ru4,2.461844
As8O16,5.106115
Ag4B12O20,3.945052
H4N4O16Zn4,3.656922
Ga2Li2Te4,2.313335
Se12Sr4Zr4,0.833704
I20Pb10,3.141063
Mn2S4,1.450758
Cu4Lu4Pb4Se12,2.090439
I16Zr4,2.561594
I4Nb2O2,1.693433
B8Na8S20,3.645696
Cs8Mo4O4S12,2.677042
N6Rb2,5.448978
Fe1Na1O8Se2,3.087123
Ag16O20Te4,0.8056989999999997
Ag2C4Cl4F12N4Sb2,4.484769
Al4Cd2S8,3.531374
Ba2F6Zn1,7.310396
As4Cs12Ge4Se20,2.637075
Fe1P4Si4,1.8705050000000003
B4Cu1Li6O10,4.032978
Mg2Na2Sb2,1.593008
Cl7Na1,1.219708
Ca4Mn2O12W2,2.478625
Au4Cl12,2.518383
Cu4H8K4O20P4,3.694056
Cl8Cu8Hg8S8,1.934702
Ba4Cl8Hg8O8,2.840714
Cu2Fe1Se4Sn1,0.352841
K2O14Sb2Zn8,2.725595
Ag4O14S4,4.323809
Cu2O16W4Y2,2.034484
Ga4Te4,1.433252
Al2Na2P4S12,3.720741
Na1Se2V1,0.8717639999999998
Hg1O14P4V2,2.255654
Ca6Mn4O14,1.145253
Cs1K5S17Sn5Zn4,2.650871
Cd1N3O6Rb1,4.164554
Ag2As6Cu8O24,3.04123
H8Hg4O20Se4,3.03752
